Initiative Name,Initiative Type,Country,Lead Organization,Budget (USD million),Start Year,Targeted Completion Year,Expected Impact,Actual Impact,Number of Jobs Created,Funding Source,Public Awareness Level (%),Technology Used,Geographical Coverage (sq km),Annual Progress Report,Community Engagement Level (%),Policy Alignment,Emission Reduction per Year (tonnes),Renewable Energy Capacity Added (MW),Green Infrastructure Developed (km)
Clean Transportation Initiative in USA #683,Clean Transportation Initiative,USA,Eco Warriors,333,2023,2029,0.47,0.85,79407,Government,80,Hydropower,478902,yes,88,National,1578293,8178,604
Climate Education Program in Brazil #684,Climate Education Program,Brazil,Green Growth Initiative,1289,2017,2030,0.87,0.43,63114,Private Sector,98,Solar,403561,yes,59,National,1716662,17397,940
Emission Control Program in Australia #685,Emission Control Program,Australia,Eco Warriors,1364,2022,2028,0.31,0.33,5811,Private Sector,75,Bioenergy,256590,no,92,National,1200018,39020,150
Clean Transportation Initiative in Australia #686,Clean Transportation Initiative,Australia,Clean Energy Foundation,1277,2010,2016,0.8,0.67,65271,Government,51,Geothermal,364122,yes,90,International,1160661,21076,207
Energy Efficiency Campaign in Japan #687,Energy Efficiency Campaign,Japan,Zero Emissions Initiative,278,2014,2021,0.49,0.35,12482,International Aid,92,None,483610,no,74,National,279540,41465,26
Climate Education Program in China #688,Climate Education Program,China,Eco Warriors,1729,2011,2016,0.84,0.27,82275,International Aid,58,Bioenergy,293517,no,80,National,1211209,29989,256
Green Infrastructure Development in Australia #689,Green Infrastructure Development,Australia,Clean Energy Foundation,590,2017,2029,0.98,0.61,9565,Private Sector,55,Wind,378257,yes,67,National,45447,18666,287
Waste Management Plan in India #690,Waste Management Plan,India,Eco Warriors,982,2015,2022,0.98,0.5,99927,Private Sector,86,Geothermal,386216,no,99,National,131769,47260,646
Green Infrastructure Development in Australia #691,Green Infrastructure Development,Australia,Sustainable Future Org,1373,2012,2020,0.11,0.37,96735,Government,92,Solar,415739,no,90,International,1646228,26978,543
Reforestation Initiative in UK #692,Reforestation Initiative,UK,Climate Action Network,1191,2018,2025,0.67,0.41,9958,International Aid,67,Geothermal,103408,yes,67,International,1761687,46559,496
Clean Transportation Initiative in France #693,Clean Transportation Initiative,France,Eco Innovation Lab,1641,2010,2024,0.48,0.1,20864,Government,92,Hydropower,460769,yes,90,National,389717,34433,454
Renewable Energy Project in France #694,Renewable Energy Project,France,Green Growth Initiative,556,2024,2032,0.11,0.53,32878,Government,79,Hydropower,473628,yes,98,International,1027155,38055,265
Sustainable Agriculture Program in China #695,Sustainable Agriculture Program,China,Sustainable Future Org,1211,2023,2036,0.61,0.1,82232,International Aid,72,Geothermal,72683,yes,78,National,926349,35396,370
Green Infrastructure Development in Germany #696,Green Infrastructure Development,Germany,Eco Innovation Lab,62,2012,2023,0.2,0.47,90980,International Aid,52,Solar,34742,yes,93,International,1420394,43718,81
Waste Management Plan in China #697,Waste Management Plan,China,Eco Warriors,974,2010,2016,1,0.9,78419,Private Sector,100,Wind,192064,yes,75,National,883920,15721,929
Reforestation Initiative in Canada #698,Reforestation Initiative,Canada,Green Growth Initiative,1248,2018,2028,0.5,0.38,11598,Government,61,Hydropower,69889,no,58,International,1737027,34427,520
Emission Control Program in Germany #699,Emission Control Program,Germany,Green Growth Initiative,746,2022,2033,0.68,0.05,74694,International Aid,73,Bioenergy,68740,yes,57,International,708307,10531,441
Green Infrastructure Development in UK #700,Green Infrastructure Development,UK,Green Growth Initiative,1804,2024,2036,0.28,0.43,18031,Private Sector,81,Hydropower,227642,yes,91,National,233319,34053,788
Clean Transportation Initiative in Japan #701,Clean Transportation Initiative,Japan,Green Earth Alliance,1187,2023,2029,0.11,0.4,48642,Private Sector,77,None,131693,no,61,National,439517,18912,82
Renewable Energy Project in India #702,Renewable Energy Project,India,Green Growth Initiative,422,2013,2024,0.73,0.65,46324,Private Sector,66,Solar,239914,yes,53,National,1572151,35269,439
Energy Efficiency Campaign in Brazil #703,Energy Efficiency Campaign,Brazil,Green Growth Initiative,975,2021,2026,0.91,0.2,6560,International Aid,52,Bioenergy,339351,no,50,International,1225744,15900,872
Reforestation Initiative in China #704,Reforestation Initiative,China,Green Earth Alliance,1685,2025,2037,0.56,0.26,9800,Government,100,Hydropower,194643,no,62,International,646216,49288,999
Clean Transportation Initiative in France #705,Clean Transportation Initiative,France,Clean Energy Foundation,1359,2019,2034,0.51,0.51,20783,International Aid,68,Bioenergy,462761,yes,64,National,447521,13762,237
Green Infrastructure Development in Australia #706,Green Infrastructure Development,Australia,Green Growth Initiative,1195,2016,2025,0.75,0.32,56686,Private Sector,89,Solar,123918,yes,67,National,1294269,13408,121
Renewable Energy Project in France #707,Renewable Energy Project,France,Clean Energy Foundation,1880,2019,2024,0.92,0.72,79621,Private Sector,64,None,312123,no,58,International,218438,28382,88
Renewable Energy Project in Brazil #708,Renewable Energy Project,Brazil,Green Earth Alliance,1413,2016,2024,0.13,0.16,98203,International Aid,77,Bioenergy,330509,no,66,National,50123,36197,963
Emission Control Program in Japan #709,Emission Control Program,Japan,Green Earth Alliance,1623,2018,2028,0.38,0.85,66194,Private Sector,94,None,242312,yes,70,International,765966,10551,220
Emission Control Program in China #710,Emission Control Program,China,Eco Warriors,1873,2012,2023,0.36,0.18,51625,Government,57,None,362797,yes,53,International,1773057,9065,594
Sustainable Agriculture Program in Australia #711,Sustainable Agriculture Program,Australia,Eco Innovation Lab,1448,2021,2026,0.06,0.43,56775,Private Sector,66,Solar,358658,yes,73,National,1814427,3912,446
Clean Transportation Initiative in France #712,Clean Transportation Initiative,France,Climate Action Network,1494,2020,2028,0.62,0.26,41018,International Aid,65,Bioenergy,435318,no,82,National,1265124,49244,196
Clean Transportation Initiative in Australia #713,Clean Transportation Initiative,Australia,Climate Action Network,207,2019,2029,0.46,0.27,42223,International Aid,95,None,170514,yes,51,International,1982997,36983,491
Clean Transportation Initiative in UK #714,Clean Transportation Initiative,UK,Green Earth Alliance,1642,2012,2019,0.06,0.66,18101,Private Sector,58,Bioenergy,86012,yes,59,International,863713,20302,153
Water Conservation Project in France #715,Water Conservation Project,France,Sustainable Future Org,1716,2012,2023,0.6,0.19,67900,Government,81,Hydropower,442528,no,98,International,485928,49308,263
Energy Efficiency Campaign in France #716,Energy Efficiency Campaign,France,Eco Warriors,1454,2017,2026,0.9,0.9,98455,International Aid,77,Geothermal,206641,no,93,National,758163,21839,760
Waste Management Plan in France #717,Waste Management Plan,France,Eco Warriors,327,2025,2033,0.58,0.86,97132,Private Sector,82,Geothermal,342538,yes,54,National,402011,3765,808
Renewable Energy Project in USA #718,Renewable Energy Project,USA,Green Earth Alliance,714,2015,2028,0.91,0.94,78125,International Aid,64,Bioenergy,63546,yes,65,International,1467666,34409,842
Water Conservation Project in Australia #719,Water Conservation Project,Australia,Green Earth Alliance,1896,2016,2024,0.77,0.53,4758,International Aid,93,Solar,386016,yes,86,International,959525,6543,529
Clean Transportation Initiative in Germany #720,Clean Transportation Initiative,Germany,Green Growth Initiative,581,2016,2022,0.55,0.46,55924,International Aid,75,Bioenergy,177604,yes,87,National,1300858,7554,507
Reforestation Initiative in USA #721,Reforestation Initiative,USA,Clean Energy Foundation,139,2017,2028,1,0.68,43955,International Aid,58,Geothermal,289907,no,57,International,923470,48941,545
Reforestation Initiative in Japan #722,Reforestation Initiative,Japan,Zero Emissions Initiative,1393,2023,2030,0.77,0.06,21410,Government,96,Wind,145257,yes,83,National,231659,30713,825
Water Conservation Project in UK #723,Water Conservation Project,UK,Eco Warriors,1875,2021,2036,0.88,0.17,3212,International Aid,77,None,220051,no,71,National,1194179,12737,237
Green Infrastructure Development in China #724,Green Infrastructure Development,China,Green Earth Alliance,709,2015,2024,0.91,0.15,32959,Private Sector,93,Wind,10683,no,51,National,1833957,32498,635
Climate Education Program in Japan #725,Climate Education Program,Japan,Climate Action Network,880,2013,2027,0.66,0.73,16602,Private Sector,95,Wind,197033,no,58,International,1298737,46113,252
Waste Management Plan in UK #726,Waste Management Plan,UK,Climate Action Network,1954,2011,2023,0.26,0.09,50351,Private Sector,51,None,274402,no,93,International,936289,19021,395
Climate Education Program in Japan #727,Climate Education Program,Japan,Sustainable Future Org,242,2022,2031,0.13,0.05,87010,International Aid,70,Bioenergy,241490,no,99,National,650879,18726,735
Renewable Energy Project in UK #728,Renewable Energy Project,UK,Earth Guardians,389,2014,2021,0.11,0.92,10219,International Aid,81,Solar,173458,no,83,National,664197,33512,301
Emission Control Program in India #729,Emission Control Program,India,Sustainable Future Org,1583,2016,2029,0.75,0.08,64449,Private Sector,93,Solar,329425,no,100,International,1654002,44327,413
Green Infrastructure Development in India #730,Green Infrastructure Development,India,Global Renewable Group,1373,2011,2019,0.16,1,6691,Government,52,Hydropower,459990,yes,75,International,1577965,2247,364
Green Infrastructure Development in Brazil #731,Green Infrastructure Development,Brazil,Earth Guardians,1248,2025,2034,0.41,0.65,86796,International Aid,80,None,16820,no,88,National,678962,17452,404
Reforestation Initiative in Australia #732,Reforestation Initiative,Australia,Clean Energy Foundation,1657,2018,2025,0.42,0.99,86568,Government,82,Solar,336670,yes,63,International,1679877,8141,472
Waste Management Plan in USA #733,Waste Management Plan,USA,Zero Emissions Initiative,1000,2023,2031,0.2,0.45,77795,Private Sector,64,Hydropower,140066,yes,64,International,876093,28716,977
Reforestation Initiative in China #734,Reforestation Initiative,China,Green Earth Alliance,819,2022,2033,0.45,0.72,31990,International Aid,80,Wind,71896,yes,81,International,1555657,49047,5
Clean Transportation Initiative in USA #735,Clean Transportation Initiative,USA,Green Growth Initiative,773,2025,2037,0.22,0.56,75061,Government,95,Solar,381583,yes,53,National,645098,18484,892
Waste Management Plan in USA #736,Waste Management Plan,USA,Zero Emissions Initiative,1549,2018,2030,0.19,0.16,95861,Private Sector,56,Solar,381446,no,80,International,647012,38788,178
Clean Transportation Initiative in Brazil #737,Clean Transportation Initiative,Brazil,Earth Guardians,1590,2021,2032,0.26,0.84,32830,International Aid,100,Geothermal,340930,no,96,International,829323,43855,978
Emission Control Program in India #738,Emission Control Program,India,Earth Guardians,1584,2015,2025,0.95,0.46,52307,Private Sector,75,Hydropower,4539,yes,88,International,1480251,42624,864
Sustainable Agriculture Program in China #739,Sustainable Agriculture Program,China,Green Growth Initiative,549,2018,2027,0.72,0.57,37669,International Aid,81,Bioenergy,49017,no,67,International,839554,7868,365
Emission Control Program in USA #740,Emission Control Program,USA,Clean Energy Foundation,1934,2018,2031,0.4,0.87,31660,Private Sector,75,Geothermal,216585,no,66,National,770100,16451,157
Climate Education Program in Germany #741,Climate Education Program,Germany,Global Renewable Group,572,2010,2015,0.72,0.54,73847,International Aid,74,None,285699,no,62,National,1546163,42732,992
Reforestation Initiative in Brazil #742,Reforestation Initiative,Brazil,Clean Energy Foundation,141,2016,2024,0.26,0.39,31690,Government,79,Hydropower,190536,yes,83,National,1449591,38856,734
Sustainable Agriculture Program in China #743,Sustainable Agriculture Program,China,Eco Innovation Lab,511,2012,2017,0.85,0.92,24584,International Aid,83,None,492448,yes,71,International,1904835,45878,809
Reforestation Initiative in Germany #744,Reforestation Initiative,Germany,Eco Innovation Lab,1859,2024,2031,0.08,0.09,51696,International Aid,73,Geothermal,497031,no,56,National,356978,47141,335
Reforestation Initiative in Brazil #745,Reforestation Initiative,Brazil,Green Growth Initiative,1610,2025,2036,0.63,0.52,22354,Private Sector,66,Bioenergy,426879,no,80,National,1136348,39063,768
Climate Education Program in Australia #746,Climate Education Program,Australia,Earth Guardians,884,2013,2028,1,0.82,40413,Private Sector,78,Solar,232728,yes,89,International,1194301,38567,981
Energy Efficiency Campaign in Japan #747,Energy Efficiency Campaign,Japan,Eco Warriors,1161,2018,2023,0.93,0.56,46643,International Aid,70,Solar,226977,no,82,National,1965885,36229,311
Energy Efficiency Campaign in UK #748,Energy Efficiency Campaign,UK,Sustainable Future Org,176,2012,2023,0.33,0.77,45129,Government,75,Solar,198590,yes,94,National,801124,11166,598
Green Infrastructure Development in India #749,Green Infrastructure Development,India,Eco Innovation Lab,514,2016,2022,0.87,0.52,35305,International Aid,50,Bioenergy,138311,yes,92,International,717333,16334,544
Water Conservation Project in India #750,Water Conservation Project,India,Earth Guardians,1324,2010,2019,0.73,0.45,95300,Government,97,None,359223,yes,57,International,203519,18825,169
Emission Control Program in Germany #751,Emission Control Program,Germany,Zero Emissions Initiative,1428,2011,2018,0.29,0.66,11261,Private Sector,70,Bioenergy,282587,no,63,International,1905374,39341,433
Waste Management Plan in China #752,Waste Management Plan,China,Green Growth Initiative,1001,2016,2028,0.58,0.49,76531,Government,64,Wind,363469,yes,75,International,675992,39723,504
Water Conservation Project in India #753,Water Conservation Project,India,Eco Warriors,68,2023,2029,0.11,0.27,91665,International Aid,77,None,130582,no,68,National,658794,37371,455
Energy Efficiency Campaign in France #754,Energy Efficiency Campaign,France,Sustainable Future Org,1727,2024,2036,0.46,0.68,77907,Government,97,None,475526,no,75,International,1220289,3044,343
Climate Education Program in Germany #755,Climate Education Program,Germany,Sustainable Future Org,1023,2019,2026,0.83,0.32,62791,Private Sector,82,Bioenergy,86386,no,65,International,1902079,15446,660
Climate Education Program in Brazil #756,Climate Education Program,Brazil,Green Earth Alliance,1063,2014,2026,0.25,0.48,63434,International Aid,53,Bioenergy,23573,no,85,International,977807,1470,506
